Issue Title,Issue Body,Feature Request
💡 cloudflared Cloudflare Tunnel HTTP Traffic Metrics,"**Describe the feature you'd like**

Provide more Prometheus metrics data about the traffic.


**Describe alternatives you've considered**

I run `cloudflared` inside of kubernetes, so I would monitoring the network traffic about pod.

But there is NO way to get detailed metrics like ""how much traffic used for ingress and egress with domain `service1.example.com` "".

**Additional context**

Now cloudflared already provides some metrics in proxy/metrics.go, like counter by http response code.

I want more metrics like the counter of proxied traffic data in bytes, for both ingress and egress.

I found that I could append more instrument behavior around `proxy/metrics.go` to accomplish this goal.

Also the well-design of metrics(name, tags) should be considered.

What do you think about it?
",True
could NOT convert GIF to animated webp,"**Describe the bug**
A clear and concise description of what the bug is.

I found that webp_server_go could not resolve animated images, like GIF.

After the conversion, it is NOT animated anymore.



**To Reproduce**
Steps to reproduce the behavior

before: https://strrl.dev/post/weekly-recap/2023/21-selfdrivinglongtrip/Peek2023-05-2215-53.gif 

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots and logs**
If applicable, add screenshots and logs to help explain your problem.

**Environment (please complete the following information):**
 - OS: [e.g. Linux]
 - version or branch[e.g. 0.0.3, master]

**Additional context**
Add any other context about the problem here.
",False
Multi Arch Supports (eg. arm64) for gcr.io/k8s-prow images,"<!-- Please only use this template for submitting enhancement requests -->

**What would you like to be added**:

Making the Prow bot could run on arm64 machines

**Why is this needed**:

We have a multi-arch (x86 and arm64) kubernetes cluster for testing chaos-mesh. And we are trying to make prow run in this cluster. And I noticed that image like `gcr.io/k8s-prow/prow-controller-manager` is only available in x86. 

So I must use `nodeSelector` to make the pods run on x86 nodes.

Providing multi-arch images and making users ignore the arch-platform things is much better.

What do you think about it? If this proposal makes sense, I would be very glad to contribute to it. :D
",True
resolve complicated build scripts and makefile,"## Feature Request

**Is your feature request related to a problem? Please describe:**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

Yes. 

Currently, we are facing some situations:

- complicated makefile and build scripts, especially the coupled binding between build scripts and dev-env containers.
- bad make performance
- using too many (~23) environment variables for configuring/tunning during the building process


**Describe the feature you'd like:**
<!-- A clear and concise description of what you want to happen. -->

The goals for this issue are:

- decouple makefile and dev container
    - makefile for local build only
    - dev container is optional, just provide executable binaries(gcc, go) and services (docker)
- reduce the number of ENVs
    - only provide required ENV/Variables in Makefile, like GO, CGO, LDFLAGS...
    - append documentation for the rest ENVs.
    - remove configurable tags like `IMAGE_<NAME>_TAG`. Always use one ENV(like `IMAGE_TAG`?) for a consistent tag for all images (or just always use `latest`).
- speed up the performance of `make` command
- update contributing.md, a better way to onboard Chaos Mesh contributing


**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

No other alternatives right now.

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->

There are several practices in other projects could be references:

- vdev in vector: https://github.com/vectordotdev/vector/tree/master/vdev
- odev in opendal: https://github.com/apache/incubator-opendal/blob/main/odev
- devcontainer: https://container.dev
",True
Integration Test on AMD64 Keeps Failing ,"## Bug Report

**What version of Kubernetes are you using?**
<!-- You can run `kubectl version` -->

N/A 

**What version of Chaos Mesh are you using?**
<!-- You can run `kubectl exec -n chaos-mesh {chaos-controller-manager-pod-name} -- /usr/local/bin/chaos-controller-manager -version` -->

N/A

**What did you do? / Minimal Reproducible Example**
<!-- If possible, provide a recipe for reproducing the error. How you installed chaos-mesh. -->

I noticed that Integration Tests faced continues failing recent days:

<img width=""1337"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/229829283-022946cf-91bc-4775-87e0-9f8df4fd8da6.png"">


**What did you expect to see?**

**What did you see instead?**

**Output of chaosctl**
<!-- If it is related to networkchaos, stresschaos or iochaos, chaosctl would help maintainers better find the bug. -->
<!-- See pkg/chaosctl/README.md for detail -->
",False
bug: chaos-tproxy-controller does not deserialize `RawFile` properly with `RawFile.Contents`,"I am working on this PR: https://github.com/chaos-mesh/chaos-mesh/pull/3956

But I still face some trouble with that chaos-tproxy does not accept the chaos. The log saied:

```

..
2023-03-10T10:16:44.544Z        INFO    records records/controller.go:118       iterating record        {""record"": {""id"":""chaos-mesh-6861/http-test-78f645fc9c-42q4d"",""selectorKey"":""."",""phase"":""Not Injected/Wait"",""injectedCount"":0,""recoveredCount"":0,""events"":[{""type"":""Failed"",""operation"":""Apply"",""message"":""failed to apply for pod chaos-mesh-6861/http-test-78f645fc9c-42q4d, status(400): invalid type: string \""LS0tLS1CRUdJTiBDRVJUSUZJQ0FURS0tLS0tCk1JSURwVENDQW8yZ0F3SUJBZ0lVUTFuZDdweFNQTFJqOTdXYk1RZTUvNkJqVnJFd0RRWUpLb1pJaHZjTkFRRUwKQlFBd1ZqRUxNQWtHQTFVRUJoTUNRVlV4RXpBUkJnTlZCQWdNQ2xOdmJXVXRVM1JoZEdVeElUQWZCZ05WQkFvTQpHRWx1ZEdWeWJtVjBJRmRwWkdkcGRITWdVSFI1SUV4MFpERVBNQTBHQTFVRUF3d0dZVzVrY21WM01CNFhEVEl6Ck1ETXhNREE1TWpNd01Gb1hEVE16TURNd056QTVNak13TUZvd1ZqRUxNQWtHQTFVRUJoTUNRVlV4RXpBUkJnTlYKQkFnTUNsTnZiV1V0VTNSaGRHVXhJVEFmQmdOVkJBb01HRWx1ZEdWeWJtVjBJRmRwWkdkcGRITWdVSFI1SUV4MApaREVQTUEwR0ExVUVBd3dHWVc1a2NtVjNNSUlCSWpBTkJna3Foa2lHOXcwQkFRRUZBQU9DQVE4QU1JSUJDZ0tDCkFRRUFuU2dkdWFrQ0ltN2F1TkQ0RTVpTFNjRWJsVFk4YTMzckoxMmdJNFFENXF0WG9LeXo5ZVJoUE5ZUnA3blUKYnVZMmsrdDB3SXlKQ2czRmpaYldrSDRIWTFaTGJBSWJHSnBNeCt5bjZGSzFKb2U1dThUTmhDVkJjaGttT2lCbApaZTNFVThOUitPRWVkM1JpUi8raHFnM2dOYkdMNndJVU9Sak4rM21KZldxQnNsUnZGdVVaVkQ5QmU4bG1ndXZUCkVyQ2ZtcDUyODZkMlFWeE1hOFl2UzdKbmVPbHRTY0NySGJ3d1FvTG9GWS80aFBYMHlXUHNGazVDZjlpMEpzSFMKN0tpaVo5ZzhqbzF2aDBOcWhvWkdFaW9vTTQzQnk1cWwyTEgzQXpKNmJZRzdRZDNNTDBFemlUYWtSU2ZaWXo4cQpaK3RaanVmSzQ4L1VSVVBnV28zQnpWQzI0d0lEQVFBQm8yc3dhVEFmQmdOVkhTTUVHREFXZ0JSVlNZNTJVSFVFCnhLT3VSS1g3MjNTci9YS1JwREFKQmdOVkhSTUVBakFBTUFzR0ExVWREd1FFQXdJRThEQVBCZ05WSFJFRUNEQUcKaHdUQXFERUNNQjBHQTFVZERnUVdCQlNValBQTTREK1Exd1FnZytpMDRENHFhYThzbFRBTkJna3Foa2lHOXcwQgpBUXNGQUFPQ0FRRUFKUExpREdEOFFDcHVXSVVYbkZIa3RwRlEyYmQ5eEZUN3J6a3JwVUV1eFBhcHRNYXB2TS9NCjRLZklKTHhUVDJ3TFRHTEdRdHF3V0xsT00rQlZKNTY2STZidGcrYzlxTlNDazhpSDBvZzZiamE0MVNGL2poSUEKWTFBWFc0ckNFUmlwYXF1bGxPbWltcm1HTFFoNWEyTlp3MHZVUGtrOUhVa3RnTGJYKzRZc25mSnJOajJydFIrTgp3MlVGam1UYUR2ZSt3MlZvZ3dpclB4ZDRLM3RHWjgrYWpuQWZ3RklIUHZPcC9rQTVjWC9ZQlNZZnNXdWgrenVHCng0TU1sMGZVaHoyWGx0Vno2aTd5U1FyWWpTRDYwekt6a0tzUTJQemZrdjVCMGNicTU1c1RCazZ3cm5iK3YycTMKNTk4bUl5S1BNVGFyN1ZIUThIa0FpNkVFMUdzTGMrN2Uzdz09Ci0tLS0tRU5EIENFUlRJRklDQVRFLS0tLS0K\"", expected a sequence at line 1 column 1994"",""timestamp"":""2023-03-10T09:23:04Z""},{""<....truncated>
```

We use json rpc to communicate between chaos-tproxy and chaos-daemon, and the JSON serialization in golang would serialize bytes as base64. But `serde_json` does not use base64 when it deserialize the JSON, which means it cause the problem which mentioned formerly.
",False
"chaos-coredns v0.2.4, v0.2.5 not works","it refers to:

- https://github.com/chaos-mesh/chaos-mesh/pull/3488#issuecomment-1461735478
- https://github.com/chaos-mesh/chaos-mesh/pull/3967
- https://github.com/chaos-mesh/chaos-mesh/pull/3947

The reason why it does not work is the priority of coredns plugin loading has been changed:

This PR https://github.com/chaos-mesh/k8s_dns_chaos/pull/21/files change `sed` into `shell >>`, which append the chaos plugin as the **last** plugin loaded by coredns, even later than the default plugin like `forward` which forward the DNS request to the upstream DNS server.  So it does not gonna be worked.
",False
HTTPChaos TLS: chaos controller manager does not fetch the correct secret,"## Bug Report

**What version of Kubernetes are you using?**
<!-- You can run `kubectl version` -->

N/A

**What version of Chaos Mesh are you using?**
<!-- You can run `kubectl exec -n chaos-mesh {chaos-controller-manager-pod-name} -- /usr/local/bin/chaos-controller-manager -version` -->

Chaos Mesh 2.5.1

**What did you do? / Minimal Reproducible Example**
<!-- If possible, provide a recipe for reproducing the error. How you installed chaos-mesh. -->

Create HTTPChaos with TLS configured.

**What did you expect to see?**

HTTPChaos could work.

**What did you see instead?**

HTTPChaos does not work, with the chaos controller manager logs:

```
2023-02-24T06:35:05.238Z	ERROR	podhttpchaos	podhttpchaos/controller.go:165	unable to get secret	{""error"": ""Secret \""dep1-7f57fff956-5rrc2\"" not found""}
  github.com/chaos-mesh/chaos-mesh/controllers/podhttpchaos.(*Reconciler).Reconcile
  	/home/runner/work/chaos-mesh/chaos-mesh/controllers/podhttpchaos/controller.go:165
``` 

related codes:


https://github.com/chaos-mesh/chaos-mesh/blob/64dc83baed9b667e6a826229c5bd50faa803efae/controllers/podhttpchaos/controller.go#L158-L167

At line 164, the usage of client is not correct, use `request.NamepsacedName` as the secret name.


**Output of chaosctl**
<!-- If it is related to networkchaos, stresschaos or iochaos, chaosctl would help maintainers better find the bug. -->
<!-- See pkg/chaosctl/README.md for detail -->
",False
"env images(`dev-env` and `build-env`) not rebuild in E2E tests, job `build-binary`","## Bug Report

Now, `build-binary` and `build-image` are two different job runs parallel,

after tagging `need-rebuild-dev-env` or `need-rebuild-build-env`, the image build be built in job `build-images`.

But job `build-binary` also need these image, so it would fail.",False
`alpha` and `beta` version not using the corresponding image tag,"## Bug Report

when we release alpha or beta version , as we did not update the version in the helm chart `values.yaml` , it keeps as `latest`.

That is not expected.

We should find a way that could replace it with the current image tag when releasing the helm chart.

And make it could execute  locally
",False
Require new CI for checking merge conflict marker in cherrypicks PR,"## Bug Report

The current tichi-bot would push the 3-way merge content in the cherry-pick, if would easy to find with go codes, but not easy to find with `.yaml` and `.ts` file.

And the last v2.5.0-beta.0 failed to build because of this issue:

https://github.com/chaos-mesh/chaos-mesh/actions/runs/3514056159/jobs/5887604490

I searched `<<<<<<< HEAD` with tag `v2.5.0-beta.0`, and found that the conflicts are introduced from

- https://github.com/chaos-mesh/chaos-mesh/pull/3802
- https://github.com/chaos-mesh/chaos-mesh/pull/3798


Add a CI for checking there is no merge conflict is required if the tichi-bot keeps the current behaviour.",False
local reproducible cotainer image build,"I was suffering with https://github.com/chaos-mesh/chaos-mesh/pull/3488

The building of container images for this repo could NOT be reproducible on the local machine.

It's hard to profile.

I would make it could be built on the local machine, then make it works on GitHub Action. 


:(",True
Use code generation instead of `eval` in makefile,"Also relates to https://github.com/chaos-mesh/chaos-mesh/issues/1963

Currently, we are using `eval` for rendering targets for ""building executable binary"" and ""building container"" images:

https://github.com/chaos-mesh/chaos-mesh/blob/cfbca5e5becfb09b0129a8d9702a930942999730/Makefile#L172-L175

https://github.com/chaos-mesh/chaos-mesh/blob/cfbca5e5becfb09b0129a8d9702a930942999730/Makefile#L211-L220

It's not easy to understand and maintain that makefile with dynamic rendering with `eval`. Also, it would reduce the performance of the bash completion for the makefile.

I suggest writing a go utility application, and generating `binary.generated.mk` and `container-image.generated.mk`, instead of using `eval` in `Makefile`
",True
`make check` failed to execute on release-2.3 and release-2.4,"## Bug Report

**What version of Kubernetes are you using?**
<!-- You can run `kubectl version` -->

N/A

**What version of Chaos Mesh are you using?**
<!-- You can run `kubectl exec -n chaos-mesh {chaos-controller-manager-pod-name} -- /usr/local/bin/chaos-controller-manager -version` -->

N/A

**What did you do? / Minimal Reproducible Example**
<!-- If possible, provide a recipe for reproducing the error. How you installed chaos-mesh. -->

CI `ci / go verify` failed on:

- https://github.com/chaos-mesh/chaos-mesh/pull/3752
- https://github.com/chaos-mesh/chaos-mesh/pull/3754

and it also failed on local machine.

**What did you expect to see?**

**What did you see instead?**

**Output of chaosctl**
<!-- If it is related to networkchaos, stresschaos or iochaos, chaosctl would help maintainers better find the bug. -->
<!-- See pkg/chaosctl/README.md for detail -->
",False
CI: Integration Tests does NOT works on Kubernetes 1.24+,"## Bug Report

**What version of Kubernetes are you using?**
<!-- You can run `kubectl version` -->

Kubernetes 1.25.2

please notice that GitHub Action would use kind to bootstrap kuberntes 1.23.x, so this issue does NOT relate to the current failure on GHA.

**What version of Chaos Mesh are you using?**
<!-- You can run `kubectl exec -n chaos-mesh {chaos-controller-manager-pod-name} -- /usr/local/bin/chaos-controller-manager -version` -->

latest

**What did you do? / Minimal Reproducible Example**
<!-- If possible, provide a recipe for reproducing the error. How you installed chaos-mesh. -->

execute `bash ./test/integration_test/run.sh`, and it hangs at

**What did you expect to see?**

pass all integration tests.

**What did you see instead?**


```
bash ./test/integration_test/run.sh
Running test test/integration_test/auth-rbac-webhook/run.sh...
serviceaccount/fake-sa unchanged
role.rbac.authorization.k8s.io/pod-chaos-creation-only unchanged
rolebinding.rbac.authorization.k8s.io/fake-sa-could-only-create-podchaos unchanged
error: resource name may not be empty
User ""fake-sa"" set.
Context ""fake-sa-test"" modified.
Please enter Username:
```

**Output of chaosctl**
<!-- If it is related to networkchaos, stresschaos or iochaos, chaosctl would help maintainers better find the bug. -->
<!-- See pkg/chaosctl/README.md for detail -->
",False
"CI: ""Integration Test"" keeps failing on AMD64 ","## Bug Report

I noticed that the integration test keeps failing on AMD64:

https://github.com/chaos-mesh/chaos-mesh/actions/workflows/integration_test.yml

Still did not figure out the reason.
",False
CI: Upload Image is broken,"## Bug Report

It seems that this CI has been broken for a while.

https://github.com/chaos-mesh/chaos-mesh/actions/workflows/upload_image.yml

It failed to build chaos-kernel, and the error message is not clear. 🥲",False
Append SBOM section in README.md,"## Feature Request

**Is your feature request related to a problem? Please describe:**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

Yes, we want to reach 100% on CLOMonitor.


**Describe the feature you'd like:**
<!-- A clear and concise description of what you want to happen. -->

- ~provide SBOM section in README.md~
- automatic attach `.sbom` file to GitHub release, thanks to @g1eny0ung , introduce https://github.com/kubernetes-sigs/bom

**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

- ~automatic attach `.sbom` file to GitHub release, it might be harder because we would also push docker images and helm charts. It's better to use documentation to explain it.~
- provide SBOM section in README

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->

ref:

- https://github.com/chaos-mesh/chaos-mesh/issues/3696
- https://clomonitor.io/docs/topics/checks/#sbom
- example projects reached SBOM check: https://clomonitor.io/search?rating=a&passing_check=sbom&page=1",True
What does `korandoru` means?,A little curious about that.,False
chaos mesh 2.4.0 shown as pre-release on artifacthub,"## Bug Report
<img width=""329"" alt=""image"" src=""https://user-images.githubusercontent.com/20221408/192521237-668c246a-3387-44a4-b354-d1a3b88f5b53.png"">
",False
chaos mesh release 2.3.2 still using `latest` images,"## Bug Report

the image tag of chaos mesh 2.3.2 is wrong",False
